#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
806,jggc94,Ayudante-Estudiantil,1,1,1302,8,95,None,None,None,None,5918,1,8,8,5918,1,1,1
807,henrikromby,virksomhedsprojekt,5,5,1301,207,437,None,None,None,None,5919,5,165,207,5921,2,1,2
808,voxeolabs,prism-samples,2,2,2121,28,1082,None,None,None,None,5924,2,26,28,5924,1,6,6
809,PublicMapping,publicmapping.github.com,5,5,1739,41,3474,None,None,None,None,5927,5,23,41,5930,3,383,720
810,oranheim,deltaspike-solder,4,4,1304,35,3215,None,None,None,None,5933,4,26,35,5933,1,2,2
811,libbyshoop,csinparallel,21,21,1366,400,15645,None,None,None,None,5936,21,128,400,,0,,0
812,RobotML,robotml.github.com,4,4,1303,26,735,None,None,None,None,5957,4,21,26,5957,1,1,1
813,cesardv,kungfu,7,7,1315,172,659,None,None,None,None,5961,7,99,172,5961,1,2,2
814,SlimRoms,frameworks_base,1509,2551,2723,208150,123980,None,None,None,None,336,2551,7203,208150,256,1,5,5
815,ashawnbandy,cecs491,5,5,1314,150,3791,None,None,None,None,6579,5,98,150,6579,1,1,1
816,maxirosson,jdroid,8,8,1313,1478,6779,None,None,None,None,6582,8,1408,1478,6582,1,10,10
817,ttair,TuxSinbad,2,2,1911,10,8077,None,None,None,None,6590,2,9,10,6590,1,2,2
818,haneul,appfence_frameworks_base,203,349,2723,10256,20664,None,None,None,None,334,349,3813,10256,256,1,5,5
819,nicolas-manaud,rsslounge,3,3,1425,13,4903,None,None,None,None,6597,3,11,13,6595,1,1,1
820,Anthony-Todd,Roguelike,4,4,1310,34,55,None,None,None,None,6598,4,12,34,6598,1,1,1
821,mattloidolt,CS414,4,4,1308,144,398,None,None,None,None,6603,4,66,144,6603,1,4,4
822,riana,ModelGoon-UML4Java,3,3,1920,135,453,None,None,None,None,6607,3,130,135,6607,1,2,2
823,hivemind02,hivemind02.github.com,3,3,1428,14,862,None,None,None,None,6611,3,7,14,,0,,0
824,Noughmad,Sola,2,2,1632,487,1123,None,None,None,None,6612,2,440,487,6612,1,1,1
825,rigidus,rigidus.ru,2,2,1481,47,146,None,None,None,None,6614,2,37,47,6614,1,1,1
826,paulnguyen,cmpe281,3,3,1330,92,65632,None,None,None,None,6616,3,86,92,6618,1,1,1
827,mebusw,Maritime-Silk-Road,2,2,1538,73,409,None,None,None,None,6620,2,52,73,6619,2,2,3
828,jbosstm,documentation,11,12,1468,212,1338,None,None,None,None,6621,12,132,212,,0,,0
829,mck-,Open-VRP,5,5,1554,683,112,None,None,None,None,6633,5,661,683,6633,1,5,5
830,helios66,loss_estimate,1,1,1308,7,1178,None,None,None,None,6638,1,7,7,6638,1,2,2
831,krazdax5,HobbyCartes,7,7,1317,268,727,None,None,None,None,6641,7,88,268,6643,1,1,1
832,dukeboard,kevoree-talks,8,8,1398,428,4681,None,None,None,None,6649,8,194,428,6649,1,1,1
833,wraith9,AudioFiles,4,4,1527,75,95,None,None,None,None,6655,4,40,75,6655,1,3,3
834,brunopessanha,Projeto-Final-UnB,3,3,1656,347,117,None,None,None,None,6659,3,181,347,6659,1,2,2
835,begbegin,newparck,1,1,1314,4,196,None,None,None,None,2469,1,4,4,2469,1,1,1
836,rseal,BitPatternGenerator,3,3,2379,34,341,None,None,None,None,6662,3,25,34,6662,1,1,1
837,aedificium,aedificium,2,2,1305,2,8077,None,None,None,None,6664,2,1,2,6665,1,1,1
838,Weltraumschaf,Slides,4,4,1881,39,206,None,None,None,None,6666,4,28,39,6666,1,4,4
839,dnlove,ns3,3,3,1549,25,9049,None,None,None,None,6670,3,10,25,6670,1,1,1
840,electron128,RetroShare-Android-Client,1,1,1303,33,321,None,None,None,None,6672,1,33,33,6672,1,1,1
